Date,Month,Season,ADG_INT,GBD_5min,GrazeMinutes,GrazeHrs_5min,MeanTA,MoonitorID,Pasture,Year,Week,Deployment,RFID,Rest,Walk,Graze,Total,%Graze,%Rest,GrazeHrs_4sec,Eartag
9/10/2019,9,2,1,107.325,643.95,10.7325,35.19942586,9,22W,2019,11,1, 0-3213490,11208,797,9606,21611,44.4,51.9,10.7,664
9/10/2019,9,2,1,110.6583333,663.95,11.06583333,40.99856342,11,22W,2019,11,1, 0-3213439,11223,691,9701,21615,44.9,51.9,10.8,796
9/10/2019,9,2,1,104.6638889,632.9833333,10.56451744,38.35719707,1,23E,2019,11,1, 0-2338524,10903,887,9812,21602,45.4,50.5,10.9,764
9/10/2019,9,2,1,140.2416667,565.9666667,9.432777778,29.95011358,5,23E,2019,11,1, 0-3213479,11905,1060,8645,21610,40,55.1,9.6,978
9/10/2019,9,2,1,287.9833333,580.9666667,9.682777778,31.24288563,7,23E,2019,11,1, 0-3223934,12219,842,8550,21611,39.6,56.5,9.5,769
9/11/2019,9,2,1,113.8305556,697.9833333,11.65720648,59.24894883,21,19N,2019,11,1, 0-2309577,10744,789,10080,21613,46.6,49.7,11.2,1153
9/11/2019,9,2,1,79.71190476,562.9833333,9.382946957,34.78330521,22,19N,2019,11,1, 0-2338641,12268,775,8563,21606,39.6,56.8,9.5,242
9/11/2019,9,2,1,70.66296296,640.9666667,10.68277778,45.8755469,23,19N,2019,11,1, 0-2310363,11082,568,9949,21599,46.1,51.3,11.1,1037
9/11/2019,9,2,1,170.3222222,530.9666667,8.849444444,32.80392538,8,22W,2019,11,1, 0-2309508,12667,931,8008,21606,37.1,58.6,8.9,781
9/11/2019,9,2,1,118.9916667,480.9666667,8.016111111,34.41225928,9,22W,2019,11,1, 0-3213490,13064,1046,7489,21599,34.7,60.5,8.3,664
9/11/2019,9,2,1,120.2416667,480.9666667,8.016111111,24.97990299,11,22W,2019,11,1, 0-3213439,13561,712,7338,21611,34,62.8,8.1,796
9/11/2019,9,2,1,132.79,663.95,11.06583333,27.99611154,1,23E,2019,11,1, 0-2338524,10880,542,10167,21589,47.1,50.4,11.3,764
9/11/2019,9,2,1,127.79,633.95,10.54398873,32.57670507,7,23E,2019,11,1, 0-3223934,11886,604,9120,21610,42.2,55,10.1,769
9/12/2019,9,2,1,118.9916667,510.9666667,8.516111111,37.49151613,21,19N,2019,11,1, 0-2309577,12873,766,7943,21582,36.8,59.6,8.8,1153
